admissions,answerurl,belong,central,city_id,city_name,code_enroll,county_id,county_name,department,doublehigh,dual_class,dual_class_name,f211,f985,is_logo,is_recruitment,is_top,level,level_name,name,nature,nature_name,province_id,province_name,rank,rank_type,school_id,school_type,special,type,type_name,view_month,view_month_number,view_total,view_total_number,view_week,view_week_number,view_year,wangzi,dianhua,youxiang,zhandi,weizhi
1,https://answer.eol.cn/fillmess/index?id=677&source=zsgk_app,教育部,2,5101,成都市,1061000,510107,武侯区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,四川大学,36000,公办,51,四川,,,99,6000,[],5000,综合类,53.2w,531789,3161w,31610396,53.2w,531789,0,http://zs.scu.edu.cnhttp://www.scu.edu.cn/,"028-86081605,028-86080605",nic8401@scu.edu.cn,占地面积（亩）：7050,"学校地址：望江校区：四川省成都市一环路南一段24号,华西校区：四川省成都市人民南路三段17号,江安校区：四川省成都市双流区川大路"
1,https://answer.eol.cn/fillmess/index?id=682&source=zsgk_app,教育部,2,4401,广州市,1055800,0,,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,中山大学,36000,公办,44,广东,,,104,6000,[],5000,综合类,46.8w,468489,2400.7w,24007491,46.8w,468489,0,http://admission.sysu.edu.cnhttps://www.sysu.edu.cn/,020-84036491,adado@mail.sysu.edu.cn,占地面积（亩）：13725,"学校地址：广州校区南校园：广东省广州市海珠区新港西路135号,广州校区北校园：广东省广州市越秀区中山二路74号,广州校区东校园：广东省广州市番禺区大学城外环东路132号,珠海校区 ：广东省珠海市香洲区唐家湾,深圳校区：广东省深圳市光明区公常路66号"
1,,工业和信息化部,1,2301,哈尔滨市,1021300,230103,南岗区,2,0,38000,双一流,1,1,1,1,2,2001,普通本科,哈尔滨工业大学,36000,公办,23,黑龙江,,,34,6000,[],5001,理工类,29.5w,295341,1120.4w,11204307,29.5w,295341,0,https://zsb.hit.edu.cn/http://www.hit.edu.cn,"0451-86414671,0451-86414771",hitzsb@hit.edu.cn,占地面积（亩）：5212,学校地址：黑龙江省哈尔滨市南岗区西大直街92号
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3101,上海市,1024700,310110,杨浦区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,同济大学,36000,公办,31,上海,,,73,6000,[],5000,综合类,29.3w,293334,1546.3w,15462508,29.3w,293334,0,https://bkzs.tongji.edu.cn/http://www.tongji.edu.cn,"021-65982643,021-65981513",tjzsb@tongji.edu.cn,占地面积（亩）：3825,学校地址：上海市四平路1239号
1,,工业和信息化部,1,1101,北京市,1000600,110108,海淀区,2,0,38000,双一流,1,1,1,1,2,2001,普通本科,北京航空航天大学,36000,公办,11,北京,,,47,6000,[],5001,理工类,8.8w,88169,980.4w,9803852,8.8w,88169,0,http://zsjyc.buaa.edu.cnhttps://www.buaa.edu.cn/,010-82317695,zsbgs@buaa.edu.cn,占地面积（亩）：3000,"学校地址：学院路校区：北京市海淀区学院路37号,沙河校区：北京市昌平区沙河高教园区"
1,,教育部,2,3201,南京市,1028600,320102,玄武区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,东南大学,36000,公办,32,江苏,,,109,6000,[],5000,综合类,9.6w,96169,1417.1w,14171028,9.6w,96169,0,https://zsb.seu.edu.cn/http://www.seu.edu.cn/,"400-6910286,025-52090271",zhaoban@seu.edu.cn,占地面积（亩）：5888,学校地址：江苏省南京市江宁区东南大学路2号
1,,教育部,2,1101,北京市,1002700,110108,海淀区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,北京师范大学,36000,公办,11,北京,,,52,6000,[],5004,师范类,11.8w,118366,1155.9w,11558642,11.8w,118366,0,https://admission.bnu.edu.cn/http://www.bnu.edu.cn,010-58807962,zsb@bnu.edu.cn,占地面积（亩）：1191,学校地址：北京市新街口外大街19号
1,,工业和信息化部,1,1101,北京市,1000700,110108,海淀区,2,0,38000,双一流,1,1,1,1,2,2001,普通本科,北京理工大学,36000,公办,11,北京,,,143,6000,[],5001,理工类,7.2w,71626,1119.7w,11197422,7.2w,71626,0,http://admission.bit.edu.cnhttp://www.bit.edu.cn/,"010-68913345,010-68949926",admission@bit.edu.cn,占地面积（亩）：2820,学校地址：北京市海淀区中关村南大街5号
1,,教育部,2,1101,北京市,1000200,110108,海淀区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,中国人民大学,36000,公办,11,北京,,,46,6000,[],5000,综合类,11w,109530,1286.8w,12867855,11w,109530,0,http://rdzs.ruc.edu.cn/cms/https://www.ruc.edu.cn,400-012-3517,zsb@ruc.edu.cn,占地面积（亩）：7500,学校地址：北京市海淀区中关村大街59号
1,,教育部,2,1201,天津市,1005500,120104,南开区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,南开大学,36000,公办,12,天津,,,59,6000,[],5000,综合类,9.1w,90532,1158.3w,11583208,9.1w,90532,0,http://zsb.nankai.edu.cnhttps://www.nankai.edu.cn/,"022-23504845,022-60365167",jjjc@nankai.edu.cn,占地面积（亩）：6647,"学校地址：八里台校区：天津市南开区卫津路94号,津南校区：天津市海河教育园区同砚路38号,泰达校区：天津市经济开发区宏达街23号"
1,https://answer.eol.cn/fillmess/index?id=639&source=zsgk_app,教育部,2,1201,天津市,1005600,120104,南开区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,天津大学,36000,公办,12,天津,,,60,6000,[],5000,综合类,19.7w,196917,1743.7w,17437405,19.7w,196917,0,http://zs.tju.edu.cn/http://www.tju.edu.cn/,"022-60316985,022-27405486",tdzb@tju.edu.cn,占地面积（亩）：6161,"学校地址：卫津路校区：天津市南开区卫津路92号,北洋园校区：天津市津南区雅观路135号"
2,,国家卫生健康委员会,1,1101,北京市,1002300,110101,东城区,2,0,38000,双一流,2,2,1,1,2,2001,普通本科,北京协和医学院,36000,公办,11,北京,,,573,6000,[],5003,医药类,3.3w,32582,218.8w,2188294,3.3w,32582,0,https://gkxc.pumc.edu.cn/pumc/#/indexhttp://www.pumc.edu.cn,"010-65249442,010-69155964,010-65105809",gkzs@pumc.edu.cn,占地面积（亩）：--,学校地址：北京市东城区东单三条9号
1,https://answer.eol.cn/fillmess/index?id=701&source=zsgk_app,教育部,2,3701,济南市,1042200,370112,历城区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,山东大学,36000,公办,37,山东,,,126,6000,[],5000,综合类,34.7w,346557,1768.9w,17688940,34.7w,346557,0,http://www.bkzs.sdu.edu.cn/https://www.sdu.edu.cn/,0531-59626977,sdbkzs@sdu.edu.cn,占地面积（亩）：8000,学校地址：山东省济南市历城区山大南路27号
1,https://answer.eol.cn/fillmess/index?id=698&source=zsgk_app,教育部,2,4301,长沙市,1053300,0,,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,中南大学,36000,公办,43,湖南,,,123,6000,[],5000,综合类,33.5w,334599,2169.1w,21691022,33.5w,334599,0,http://zhaosheng.csu.edu.cn/http://www.csu.edu.cn/,0731-88830995,admis@csu.edu.cn,占地面积（亩）：4755,学校地址：湖南省长沙市麓山南路932号
1,https://answer.eol.cn/fillmess/index?id=685&source=zsgk_app,工业和信息化部,1,6101,西安市,1069900,610103,碑林区,2,0,38000,双一流,1,1,1,1,2,2001,普通本科,西北工业大学,36000,公办,61,陕西,,,107,6000,[],5001,理工类,27.4w,273690,1193.1w,11930845,27.4w,273690,0,http://zsb.nwpu.edu.cnhttps://www.nwpu.edu.cn/,"029-88460206,029-88492310",ao@nwpu.edu.cn,占地面积（亩）：4650,"学校地址：友谊校区：陕西省西安市友谊西路127号,长安校区：陕西省西安市长安区东祥路1号"
1,https://answer.eol.cn/fillmess/index?id=683&source=zsgk_app,教育部,2,4401,广州市,1056100,440106,天河区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,华南理工大学,36000,公办,44,广东,,,105,6000,[],5000,综合类,25.4w,253971,1676.6w,16765809,25.4w,253971,0,http://admission.scut.edu.cn/http://www.scut.edu.cn/,020-87110737,admit@scut.edu.cn,占地面积（亩）：5865,"学校地址：五山校区：广东省广州市天河区五山路381号,大学城校区：广东省广州市番禺区广州大学城外环东路382号,广州国际校区：广东省广州市番禺区兴业大道东777号"
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3502,厦门市,1038400,350203,思明区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,厦门大学,36000,公办,35,福建,,,102,6000,[],5000,综合类,69.5w,694620,3956.4w,39564203,69.5w,694620,0,https://zsb.xmu.edu.cn/https://www.xmu.edu.cn/,"0592-2188888,0592-2180256",zs@xmu.edu.cn,占地面积（亩）：9700,学校地址：福建省厦门市思明区思明南路422号
1,,教育部,2,2201,长春市,1018300,220104,朝阳区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,吉林大学,36000,公办,22,吉林,,,122,6000,[],5000,综合类,8.9w,88591,1516.9w,15168603,8.9w,88591,0,http://zsb.jlu.edu.cnhttps://www.jlu.edu.cn/,"0431-85166420,0431-85166226",gkzx@jlu.edu.cn,占地面积（亩）：10935,"学校地址：前卫南区：吉林省长春市前进大街2699号,前卫北区：吉林省长春市解放大路123号"
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3101,上海市,1026900,310112,闵行区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,华东师范大学,36000,公办,31,上海,,,131,6000,[],5000,综合类,24.9w,248637,1062.5w,10624860,24.9w,248637,0,https://zsb.ecnu.edu.cn/webapp/index-new.jsphttps://www.ecnu.edu.cn/,021-62232212,zsb@ecnu.edu.cn,占地面积（亩）：3105,"学校地址：普陀校区：上海市普陀区中山北路3663号,闵行校区：上海市闵行区东川路500号"
1,https://answer.eol.cn/fillmess/index?id=1100&source=zsgk_app,教育部,2,1101,北京市,1001900,110108,海淀区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,中国农业大学,36000,公办,11,北京,,,557,6000,[],5002,农林类,5.4w,54016,779.8w,7797647,5.4w,54016,0,http://jwzs.cau.edu.cnhttps://www.cau.edu.cn/,010-62737682,zsb@cau.edu.cn,占地面积（亩）：1887,学校地址：北京市海淀区清华东路17号
1,https://answer.eol.cn/fillmess/index?id=1189&source=zsgk_app,教育部,2,5101,成都市,1061400,510108,成华区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,电子科技大学,36000,公办,51,四川,,,661,6000,[],5001,理工类,34.1w,340692,2016.7w,20167195,34.1w,340692,0,http://www.zs.uestc.edu.cnhttps://www.uestc.edu.cn/,"028-61831137,028-61831139",zhaoban@uestc.edu.cn,占地面积（亩）：2085,"学校地址：清水河校区：四川省成都市高新区（西区）西源大道2006号,沙河校区：四川省成都市建设北路二段四号,九里堤校区：四川省成都市九里堤西路8号"
1,https://answer.eol.cn/fillmess/index?id=713&source=zsgk_app,教育部,2,2102,大连市,1014100,210211,甘井子区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,大连理工大学,36000,公办,21,辽宁,,,138,6000,[],5001,理工类,19.2w,192024,1513.4w,15133635,19.2w,192024,0,http://zs.dlut.edu.cn/http://www.dlut.edu.cn/,0411-84708375,bzb@dlut.edu.cn,占地面积（亩）：5357,学校地址：辽宁省大连市甘井子区凌工路2号
1,https://answer.eol.cn/question/index?id=623&source=zsgk_app,教育部,2,4301,长沙市,1053200,430104,岳麓区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,湖南大学,36000,公办,43,湖南,,,44,6000,[],5000,综合类,19.8w,198108,1790.2w,17902028,19.8w,198108,0,http://admi.hnu.edu.cnhttp://www.hnu.edu.cn/,"0731-88823560,0731-88823067,0731-88823578,0731-88823565",admi@hnu.cn,占地面积（亩）：3615,学校地址：湖南省长沙市岳麓区麓山南路麓山门
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,工业和信息化部,1,3201,南京市,1028800,320102,玄武区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,南京理工大学,36000,公办,32,江苏,,,112,6000,[],5001,理工类,20.9w,209388,877.2w,8772144,20.9w,209388,0,http://zsb.njust.edu.cn/http://www.njust.edu.cn/,400-110-2882,,占地面积（亩）：3200,"学校地址：南京校区：江苏省南京市玄武区孝陵卫街道孝陵卫街200号,江阴校区：江苏省江阴市福星路8号"
2,https://answer.eol.cn/fillmess/index?id=705&source=zsgk_app,教育部,2,3101,上海市,1027200,310110,杨浦区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,上海财经大学,36000,公办,31,上海,,,130,6000,[],5006,财经类,6.2w,61899,1149.6w,11496155,6.2w,61899,0,https://zs.sufe.edu.cn/http://www.shufe.edu.cn/,021-65904372,zb@mail.shufe.edu.cn,占地面积（亩）：813,学校地址：上海市杨浦区国定路777号
1,https://answer.eol.cn/fillmess/index?id=696&source=zsgk_app,教育部,2,5001,重庆市,1061100,500106,沙坪坝区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,重庆大学,36000,公办,50,重庆,,,119,6000,[],5000,综合类,27.7w,277206,1790.3w,17902538,27.7w,277206,0,http://zhaosheng.cqu.edu.cnhttp://www.cqu.edu.cn/,"023-65102371,023-65102370",zhaosheng@cqu.edu.cn,占地面积（亩）：5300,学校地址：重庆市沙坪坝区沙正街174号
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,广东省,2,4403,深圳市,1432500,0,,2,0,38000,双一流,2,2,1,1,2,2001,普通本科,南方科技大学,36000,公办,44,广东,,,2941,6000,[],5001,理工类,13.1w,130896,319.4w,3194155,13.1w,130896,0,https://zs.sustech.edu.cn/https://www.sustech.edu.cn/,"0755-88010500,0755-88010507,0755-88010514",zsb@sustc.edu.cn,占地面积（亩）：2970,学校地址：广东省深圳市南山区学苑大道1088 号
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1000800,110108,海淀区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,北京科技大学,36000,公办,11,北京,,,144,6000,[],5001,理工类,13w,130125,721.3w,7213476,13w,130125,0,http://zhaosheng.ustb.edu.cnhttps://www.ustb.edu.cn/,010-62325294,xuanchuan@ustb.edu.cn,占地面积（亩）：1206,学校地址：北京市海淀区学院路30号
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,工业和信息化部,1,3201,南京市,1028700,320104,秦淮区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,南京航空航天大学,36000,公办,32,江苏,,,77,6000,[],5001,理工类,24w,240387,843.5w,8434629,24w,240387,0,http://zs.nuaa.edu.cnhttp://www.nuaa.edu.cn/,400-1810287,zsb@nuaa.edu.cn,占地面积（亩）：3046,"学校地址：明故宫校区：江苏省南京市秦淮区御道街29号,将军路校区：江苏省南京市江宁区将军大道29号"
1,,教育部,2,6201,兰州市,1073000,620102,城关区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,兰州大学,36000,公办,62,甘肃,,,97,6000,[],5000,综合类,6w,59824,1153.7w,11536521,6w,59824,0,http://zsb.lzu.edu.cnhttp://www.lzu.edu.cn/,"0931-5196678,0931-8912116",zsb@lzu.edu.cn,占地面积（亩）：3544,学校地址：甘肃省兰州市天水南路222号
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,2101,沈阳市,1014500,210102,和平区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,东北大学,36000,公办,21,辽宁,,,134,6000,[],5001,理工类,16.4w,164241,1307w,13069969,16.4w,164241,0,http://zs.neu.edu.cn/http://www.neu.edu.cn/,"024-83687392,024-23891272",ddzsb@mail.neu.edu.cn,占地面积（亩）：3969,学校地址：辽宁省沈阳市和平区文化路三巷11号
2,,教育部,2,1101,北京市,1000400,110108,海淀区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,北京交通大学,36000,公办,11,北京,,,38,6000,[],5001,理工类,5.5w,55485,796w,7959928,5.5w,55485,0,https://zsw.bjtu.edu.cnhttps://www.bjtu.edu.cn/,010-51688441,,占地面积（亩）：1000,学校地址：北京市海淀区西直门外上园村3号
2,https://answer.eol.cn/fillmess/index?id=636&source=zsgk_app,教育部,2,6101,西安市,1070100,610113,雁塔区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,西安电子科技大学,36000,公办,61,陕西,,,57,6000,[],5001,理工类,20w,199989,1189.1w,11890853,20w,199989,0,http://zsb.xidian.edu.cnhttps://www.xidian.edu.cn/,"029-88202335,029-88204236",zsb@mail.xidian.edu.cn,占地面积（亩）：3945,"学校地址：北校区：陕西省西安市太白南路2号,南校区：陕西省西安市西沣路兴隆段266号"
2,https://answer.eol.cn/fillmess/index?id=976&source=zsgk_app,教育部,2,4201,武汉市,1050400,420111,洪山区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,华中农业大学,36000,公办,42,湖北,,,417,6000,[],5002,农林类,2.8w,28231,593.7w,5937277,2.8w,28231,0,http://zs.hzau.edu.cn/http://www.hzau.edu.cn,"027-87280707,027-87395964,027-87286102",hnzs@mail.hzau.edu.cn,占地面积（亩）：7500,学校地址：湖北省武汉市洪山区狮子山街1号
2,,江苏省,2,3205,苏州市,1028500,0,,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,苏州大学,36000,公办,32,江苏,,,118,6000,[],5000,综合类,10.7w,106520,1529.8w,15298405,10.7w,106520,0,http://zsb.suda.edu.cnhttp://www.suda.edu.cn/,"0512-67507943,0512-67507949",zsb@suda.edu.cn,占地面积（亩）：4586,"学校地址：天赐庄校区：江苏省苏州市十梓街1号,独墅湖校区：江苏省苏州市工业园区仁爱路199号"
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,2201,长春市,1020000,220102,南关区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,东北师范大学,36000,公办,22,吉林,,,142,6000,[],5000,综合类,14w,139776,817.5w,8174913,14w,139776,0,http://zsb.nenu.edu.cnhttp://www.nenu.edu.cn/,010-85098500,zsbbz@nenu.edu.cn,占地面积（亩）：2512,"学校地址：校本部：吉林省长春市人民大街5268号,净月校区：吉林省长春市净月大街2555号"
2,,教育部,2,1101,北京市,1003400,110108,海淀区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中央财经大学,36000,公办,11,北京,,,566,6000,[],5006,财经类,5.5w,54632,921.4w,9213963,5.5w,54632,0,http://zs.cufe.edu.cnhttp://www.cufe.edu.cn/,010-62288332,zsb@cufe.edu.cn,占地面积（亩）：1541,"学校地址：南路校区：北京市海淀区学院南路39号,沙河校区：北京市昌平区沙河高教园区"
2,https://answer.eol.cn/fillmess/index?id=708&source=zsgk_app,教育部,2,3101,上海市,1025100,310104,徐汇区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,华东理工大学,36000,公办,31,上海,,,133,6000,[],5001,理工类,18.1w,180726,1050.1w,10500977,18.1w,180726,0,https://zsb.ecust.edu.cn/http://www.ecust.edu.cn/,021-64252763,zsb@ecust.edu.cn,占地面积（亩）：2532,学校地址：上海市徐汇区梅陇路130号
2,,上海市,2,3101,上海市,1028000,310113,宝山区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,上海大学,36000,公办,31,上海,,,76,6000,[],5000,综合类,7.1w,71422,1177.1w,11771490,7.1w,71422,0,https://bkzsw.shu.edu.cn/https://www.shu.edu.cn/,021-66134148,info@shu.edu.cn,占地面积（亩）：3000,"学校地址：宝山校区：上海市宝山区上大路99号,延长校区：上海市静安区延长路149号"
2,,教育部,2,1101,北京市,1005300,110114,昌平区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中国政法大学,36000,公办,11,北京,,,569,6000,[],5007,政法类,7.4w,73946,718.6w,7185814,7.4w,73946,0,http://zs.cupl.edu.cnhttp://www.cupl.edu.cn/,010-58909122,cupl@cupl.edu.cn,占地面积（亩）：227,"学校地址：昌平校区：北京市昌平区府学路27号,海淀校区：北京市海淀区西土城路25号"
2,https://answer.eol.cn/fillmess/index?id=684&source=zsgk_app,中央统战部,1,4401,广州市,1055900,440106,天河区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,暨南大学,36000,公办,44,广东,,,106,6000,[],5000,综合类,23.3w,233091,1446.1w,14460884,23.3w,233091,0,https://zsb.jnu.edu.cnhttp://www.jnu.edu.cn/,020-85220130,ozsb@jnu.edu.cn,占地面积（亩）：3215,"学校地址：石牌校区：广东省广州市天河区黄埔大道西601号,番禺校区：广东省广州市番禺区兴业大道东855号,珠海校区：广东省珠海市前山路206号,深圳校区：中国深圳特区华侨城"
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,北京市,2,1101,北京市,1002500,110106,丰台区,2,0,38003,,2,2,1,1,2,2001,普通本科,首都医科大学,36000,公办,11,北京,,,584,6000,[],5003,医药类,11.2w,112281,584.5w,5844862,11.2w,112281,0,http://zhsh.ccmu.edu.cnhttp://www.ccmu.edu.cn/,"010-83911084,010-83911083",zhaoban@ccmu.edu.cn,占地面积（亩）：3687,学校地址：北京市丰台区右安门外西头条10号
2,https://answer.eol.cn/fillmess/index?id=632&source=zsgk_app,教育部,2,1101,北京市,1003600,110105,朝阳区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,对外经济贸易大学,36000,公办,11,北京,,,53,6000,[],5006,财经类,13w,130041,978.8w,9787929,13w,130041,0,http://zhaosheng.uibe.edu.cnhttp://www.uibe.edu.cn/,010-64492178,zhaosheng@uibe.edu.cn,占地面积（亩）：513,学校地址：北京市朝阳区惠新东街10号
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1141400,110114,昌平区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中国石油大学（北京）,36000,公办,11,北京,,,832,6000,[],5001,理工类,5.6w,56079,438.5w,4384942,5.6w,56079,0,http://bkzs.cup.edu.cnhttp://www.cup.edu.cn/,010-89733245,sydxzsb@cup.edu.cn,占地面积（亩）：700,学校地址：北京市昌平区府学路18号
2,,教育部,2,3201,南京市,1030700,320102,玄武区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,南京农业大学,36000,公办,32,江苏,,,113,6000,[],5002,农林类,3.5w,34949,588.8w,5887686,3.5w,34949,0,http://zsxx.njau.edu.cnhttp://www.njau.edu.cn/,"400-1120-200,025-84399789,025-84395708",zsb@njau.edu.cn,占地面积（亩）：13500,学校地址：江苏省南京市玄武区卫岗1号
2,https://answer.eol.cn/fillmess/index?id=979&source=zsgk_app,教育部,2,4201,武汉市,1051100,420111,洪山区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,华中师范大学,36000,公办,42,湖北,,,420,6000,[],5004,师范类,25w,249768,1150.8w,11507934,25w,249768,0,http://zs.ccnu.edu.cn/http://www.ccnu.edu.cn,"027-67863374,027-67862239,027-67863404",zb@mail.ccnu.edu.cn,占地面积（亩）：1800,学校地址：湖北省武汉市洪山区珞喻路152号
